90,"Pokken Tournament 
 ",67,"605,114","1,707,593"
91,"LEGO Marvel Super Heroes 2 
",59,"604,635","1,113,723"
92,"Xenoblade Chronicles 2 
",57,"602,633","1,404,928"
93,"Kingdom Hearts 1.5 + 2.5 Remix 
Square Enix,",95,"601,873","1,750,665"
94,"The Elder Scrolls V: Skyrim 
Bethesda Softworks,",59,"593,024","1,153,690"
95,"Rocket League 
",132,"584,344","2,017,745"
96,"Farming Simulator 19 
Focus Home Interactive, ",6,"583,425","583,425"
97,"Bayonetta 2 
",46,"573,643","573,643"
98,"Fallout 4 
Bethesda Softworks,",164,"568,545","8,480,129"
99,"Starlink: Battle for Atlas 
",11,"567,755","567,755"
100,"Assassin's Creed Origins 
",62,"560,485","2,474,124"
