,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
55,Dragon Ball FighterZ,Fighting,XOne,Namco Bandai Games,Arc System Works,0.52,0.38,0.09,,0.05
56,Hitman 2,Action-Adventure,PS4,Warner Bros. Interactive Entertainment,IO Interactive,0.51,0.19,0.22,0.02,0.08
57,Pro Evolution Soccer 2019,Sports,PS4,Konami,Konami,0.5,0.06,0.23,0.15,0.05
58,Dark Souls: Remastered,Role-Playing,PS4,Bandai Namco Entertainment,From Software,0.49,0.13,0.16,0.14,0.06
59,WWE 2K19,Fighting,XOne,2K Sports,Visual Concepts,0.48,0.3,0.14,,0.04
60,A Way Out,Action,PS4,Electronic Arts,Hazelight,0.48,0.23,0.16,,0.08
61,Luigi's Mansion,Adventure,3DS,Nintendo,GREZZO,0.47,0.19,0.16,0.09,0.03
62,Jurassic World Evolution,Simulation,PS4,Frontier Developments,Frontier Developments,0.47,0.14,0.25,,0.08
63,Detective Pikachu,Adventure,3DS,Nintendo,Creatures Inc.,0.47,0.15,0.17,0.12,0.03
64,Farming Simulator 19,Simulation,PS4,Focus Home Interactive,Giants Software,0.47,0.13,0.26,,0.07
65,Dissidia Final Fantasy NT,Fighting,PS4,Square Enix,Square Enix,0.46,0.19,0.06,0.16,0.05
66,State of Decay 2,Action-Adventure,XOne,Microsoft Studios,Undead Labs,0.46,0.27,0.14,,0.04
67,LEGO DC Super-Villains,Action-Adventure,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,0.46,0.22,0.17,,0.08
68,Hyrule Warriors: Definitive Edition,Action,NS,Nintendo,Koei Tecmo Games,0.46,0.21,0.15,0.07,0.03
69,EA Sports UFC 3,Sports,XOne,EA Sports,EA Vancouver,0.44,0.3,0.1,,0.04
70,Dragon Ball FighterZ,Fighting,NS,Bandai Namco Entertainment,Arc System Works,0.44,0.21,0.13,0.07,0.03
71,LEGO DC Super-Villains,Action-Adventure,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,0.44,0.28,0.12,,0.04
72,NHL 19,Sports,PS4,EA Sports,EA Canada,0.43,0.26,0.09,,0.08
73,Nintendo Labo: Toy-Con 03 Vehicle Kit,Racing,NS,Nintendo,Nintendo EPD,0.41,0.16,0.15,0.06,0.03
74,Rocket League,Sports,NS,505 Games,Psyonix Studios,0.4,0.21,0.16,,0.03
75,Firewall: Zero Hour,Shooter,PS4,Sony Interactive Entertainment,First Contact Entertainment Inc.,0.37,0.14,0.16,0.02,0.06
76,Go Vacation,Misc,NS,Nintendo,Bandai Namco Studios,0.37,0.12,0.22,0.01,0.03
77,Burnout Paradise Remastered,Racing,PS4,Electronic Arts,Stellar Entertainment,0.37,0.08,0.22,0.01,0.06
78,Dynasty Warriors 9,Action,PS4,Tecmo Koei,Omega Force,0.37,0.1,0.06,0.17,0.03
79,Yakuza: Kiwami 2,Action,PS4,Sega,Sega,0.37,0.08,0.06,0.19,0.03
80,Vampyr,Role-Playing,PS4,Focus Home Interactive,DONTNOD Entertainment,0.37,0.12,0.19,,0.06
81,Destiny 2: Forsaken,Shooter,PS4,Activision,Bungie,0.36,0.19,0.11,,0.06
82,Taiko no Tatsujin: Drum 'n' Fun!,Music,NS,Bandai Namco Games,Bandai Namco Games,0.36,,0.08,0.27,0.01
83,Fist of The North Star: Lost Paradise,Action,PS4,Sega,Sega,0.36,0.09,0.05,0.18,0.03
84,Nintendo Labo: Toy-Con 02 Robot Kit,Action,NS,Nintendo,Nintendo EPD,0.36,0.18,0.08,0.08,0.03
85,Mega Man 11,Platform,NS,Capcom,Capcom,0.36,0.29,,0.03,0.03
