,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
241,BlazBlue: Cross Tag Battle,Fighting,PS4,Arc System Works,Arc System Works,0.08,0.04,,0.03,0.01
242,Rick & Morty Virtual Rick-Ality,Simulation,PS4,Nighthawk Interactive,Owlchemy Labs,0.08,0.06,,,0.01
243,ARK: Survival Evolved,Action-Adventure,NS,Studio Wildcard,Studio Wildcard,0.08,0.07,,,0.01
244,NBA 2K Playgrounds 2,Sports,PS4,2K Games,Saber Interactive,0.08,0.06,,,0.01
245,Metal Gear Survive,Action,XOne,Konami Digital Entertainment,Konami Digital Entertainment,0.08,0.05,0.01,,0.01
246,The Banner Saga Trilogy - Bonus Edition,Strategy,PS4,505 Games,Stoic Studio,0.07,0.06,,,0.01
247,The Witch and the Hundred Knight 2,Role-Playing,PS4,NIS America,Nippon Ichi Software,0.07,0.03,,0.03,0.01
248,Far Cry 5,Action,PC,Ubisoft,Ubisoft,0.07,,0.07,,0.0
249,Ride 3,Racing,PS4,Bandai Namco Entertainment,Milestone S.r.l.,0.07,0.03,0.03,,0.01
250,Super Robot Wars X,Strategy,PSV,Bandai Namco Games,Bandai Namco,0.07,,,0.07,
251,Harvest Moon: Light of Hope,Simulation,PS4,Natsume,Natsume,0.07,0.06,,,0.01
252,Bass Pro Shops: The Strike - Championship Edition,Simulation,NS,Planet Entertainment,XS Games,0.07,0.06,,,0.01
253,Warriors Orochi 4,Action,NS,Koei Tecmo,Omega Force,0.07,0.02,,0.05,0.0
254,Wild Guns Reloaded,Shooter,NS,Natsume,Natsume Atari,0.07,0.06,,,0.01
255,Cabela's The Hunt: Championship Edition Bundle,Simulation,NS,Planet Entertainment,Planet Entertainment,0.07,0.06,,,0.01
256,Just Dance 2019,Music,X360,Ubisoft,Ubisoft Paris,0.07,0.05,0.01,,0.01
257,Paw Patrol on a Roll,Platform,PS4,Outright Games,Outright Games,0.07,0.06,,,0.01
258,Shenmue I & II,Action-Adventure,XOne,Sega,Sega,0.07,0.05,0.01,,0.01
259,Sushi Striker: The Way of Sushido,Puzzle,NS,Nintendo,Indies Zero,0.07,0.02,0.01,0.03,0.0
260,Subnautica,Adventure,XOne,Gearbox Software,Unknown Worlds Entertainment,0.07,0.06,,,0.01
261,R.B.I. Baseball 18,Sports,PS4,MLB Advanced Media,MLB Advanced Media,0.07,0.06,,,0.01
262,Disgaea 1 Complete,Role-Playing,PS4,NIS America,Nippon Ichi Software,0.07,0.04,,0.01,0.01
263,Street Fighter 30th Anniversary Collection,Fighting,XOne,Capcom,Capcom,0.07,0.05,0.01,,0.01
264,Dragon's Crown Pro,Role-Playing,PS4,Atlus,Vanillaware,0.07,,0.03,0.03,0.0
265,Hello Neighbor: Hide & Seek,Adventure,NS,Gearbox Software,Dynamic Pixels,0.07,0.06,,,0.01
266,Home Sweet Home (2017),Adventure,PS4,Mastiff,"YGGDRAZIL GROUP CO.,LTD",0.07,0.05,,,0.01
267,BlazBlue: Cross Tag Battle,Fighting,NS,Arc System Works,Arc System Works,0.07,0.04,0.01,0.01,0.01
268,Hello Neighbor: Hide & Seek,Adventure,PS4,Gearbox Software,Dynamic Pixels,0.07,0.05,,,0.01
269,Hello Neighbor: Hide & Seek,Adventure,XOne,Gearbox Software,Dynamic Pixels,0.07,0.06,,,0.01
270,Mutant Football League: Dynasty Edition,Sports,PS4,Nighthawk Interactive,Digital Dreams,0.07,0.05,,,0.01
271,Scribblenauts: Showdown,Platform,NS,Warner Bros. Interactive,Shiver Games,0.07,0.03,0.03,,0.01
272,Spintires: MudRunner - American Wilds,Racing,XOne,Focus Home Interactive,Saber Interactive,0.07,0.06,,,0.01
273,Nobunaga's Ambition: Taishi,Strategy,PS4,Koei Tecmo,Koei Tecmo Games,0.06,0.01,,0.05,0.0
274,Super Bomberman R,Puzzle,PS4,Konami Digital Entertainment,HexaDrive,0.06,0.03,,0.03,0.01
275,Persona 5: Dancing in Starlight,Music,PS4,Atlus,Atlus,0.06,0.03,,0.03,0.01
276,America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,Party,NS,Ubisoft,Ubisoft,0.06,0.06,,,0.01
277,FIFA 19,Sports,X360,Electronic Arts,EA Sports,0.06,,0.06,,0.0
278,Girls und Panzer: Dream Tank Match,Action,PS4,Bandai Namco Games,Bandai Namco Games,0.06,,,0.06,
279,The Sims 4: Get Famous,Simulation,PC,Electronic Arts,Maxis,0.06,,0.06,,0.0
280,Golf Club 2019,Sports,PS4,2K Games,HB Studios,0.06,0.05,,,0.01
281,Mega Man 11,Platform,XOne,Capcom,Capcom,0.06,0.06,,,0.01
282,Victor Vran: Overkill Edition,Role-Playing,NS,Wired Productions,Haemimont Games,0.06,0.06,,,0.01
283,Asterix and Obelix XXL2,Action-Adventure,NS,Microids,Microids,0.06,,0.06,,0.0
284,Fate/Extella Link,Action,PSV,Marvelous,Marvelous,0.06,,,0.06,
285,Conan Exiles,Action-Adventure,XOne,Maximum Games,Funcom Oslo A/S,0.06,0.05,0.01,,0.01
286,NBA 2K Playgrounds 2,Sports,XOne,2K Games,Saber Interactive,0.06,0.05,,,0.01
287,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Role-Playing,PS4,Tecmo Koei,Gust,0.06,0.03,,0.03,0.01
288,Shadows Awakening,Role-Playing,PS4,Kalypso Media,Games Farm,0.06,0.05,,,0.01
289,Assassin's Creed Odyssey,Action-Adventure,PC,Ubisoft,Ubisoft Quebec,0.06,,0.06,,0.0
290,Disgaea 1 Complete,Role-Playing,NS,NIS America,Nippon Ichi Software,0.06,0.03,0.01,0.01,0.0
291,Spintires: MudRunner - American Wilds,Racing,NS,Maximum Games,Saber Interactive,0.06,0.05,,,0.01
292,Portal Knights,Role-Playing,NS,505 Games,Keen Games,0.06,0.02,0.02,0.01,0.0
293,Extinction,Action,PS4,Maximum Games,Iron Galaxy,0.06,0.05,,,0.01
294,Gintama Ranbu,Action,PS4,Bandai Namco Games,Bandai Namco Games,0.06,,,0.06,
295,One Piece: Pirate Warriors 3 - Deluxe Edition,Action,NS,Bandai Namco Entertainment,Omega Force,0.06,,0.01,0.05,0.0
296,Party Arcade,Party,NS,Planet Entertainment,Solutions 2 Go,0.06,0.05,,,0.01
297,Atari Flashback Classics: Volume 3,Misc,PS4,Funbox Media,Atari,0.06,0.05,,,0.01
298,The Invisible Hours,Adventure,XOne,Tequila Works,Tequila Works,0.05,0.05,,,0.01
299,Disaster Report 4 Plus: Summer Memories,Action-Adventure,PS4,Granzella,Granzella,0.05,,,0.05,
300,The Sims 4 Seasons,Simulation,PC,Electronic Arts,EA,0.05,,0.05,,0.0
301,Call of Cthulhu,Role-Playing,XOne,Focus Home Interactive,Cyanide,0.05,0.05,,,0.01
302,Owlboy,Platform,NS,Soedesco,D-Pad Studios,0.05,0.03,0.01,,0.01
303,The Long Dark,Simulation,XOne,Skybound Games,Hinterland Studio Inc.,0.05,0.05,,,0.01
304,Carnival Games,Party,PS4,2K Games,Cat Daddy Games,0.05,0.04,,,0.01
305,Yakuza 3,Action-Adventure,PS4,Sega,Sega,0.05,,,0.05,
306,Pro Evolution Soccer 2019,Sports,XOne,Konami,Konami,0.05,0.02,0.02,,0.0
307,Hellblade: Senua's Sacrifice,Action-Adventure,PS4,505 Games,Ninja Theory,0.05,0.03,0.01,,0.01
308,Little Nightmares,Platform,NS,Bandai Namco Entertainment,Tarsier Studios,0.05,,0.02,0.03,0.0
309,Strange Brigade,Shooter,XOne,Rebellion Developments,Rebellion Developments,0.05,0.04,0.01,,0.01
310,Scribblenauts Mega Pack,Adventure,NS,Warner Bros. Interactive Entertainment,Shiver Games,0.05,0.05,,,0.01
311,The Long Dark,Simulation,PS4,Skybound Games,Hinterland Studio Inc.,0.05,0.04,,,0.01
312,Little Dragons Café,Simulation,PS4,Aksys Games,Aksys Games,0.05,0.03,,0.01,0.01
313,Golf Club 2019,Sports,XOne,2K Games,HB Studios,0.05,0.05,,,0.01
314,The Banner Saga Trilogy - Bonus Edition,Strategy,XOne,505 Games,Stoic Studio,0.05,0.05,,,0.01
315,Scribblenauts: Showdown,Platform,PS4,Warner Bros. Interactive,Shiver Games,0.05,0.04,,,0.01
316,MXGP Pro,Racing,PS4,Milestone S.r.l.,Milestone S.r.l.,0.05,0.04,,,0.01
317,Extinction,Action,XOne,Maximum Games,Iron Galaxy,0.05,0.04,,,0.01
318,My Riding Stables: Life with Horses,Simulation,NS,TREVA Entertainment,Independent Arts Software GmbH,0.05,0.04,,,0.01
319,Apex Construct,Action,PS4,Perp Games,Fast Travel Games,0.05,0.04,,,0.01
320,Fishing Sim World,Simulation,PS4,Dovetail Games,Dovetail Games,0.05,0.04,,,0.01
321,Metal Max Xeno,Role-Playing,PS4,NIS America,Kadokawa Games,0.05,0.02,,0.03,0.0
322,Toki Collector's Edition,Platform,NS,Microids,Golgoth Studio,0.05,0.04,,,0.01
323,Don't Starve,Adventure,PS4,Klei Entertainment,Klei Entertainment,0.05,0.04,,,0.01
324,Surviving Mars,Simulation,XOne,Maximum Games,Haemimont Games,0.05,0.04,,,0.01
325,Red Faction: Guerrilla Re-Mars-tered,Shooter,XOne,THQ Nordic,Volition,0.05,0.04,0.01,,0.0
326,Dakar 18,Racing,PS4,Deep Silver,Bigmoon Entertainment,0.05,0.03,0.01,,0.01
327,ARK Park,Adventure,PS4,Snail Games USA,Snail Games USA,0.05,0.04,,,0.01
328,Battle Chasers: Nightwar,Role-Playing,NS,THQ Nordic,Airship Syndicate,0.05,0.03,0.01,,0.0
329,Yomawari: The Long Night Collection,Action-Adventure,NS,NIS America,Nippon Ichi Software,0.05,0.04,,0.01,0.0
330,Carnival Games,Party,XOne,2K Games,Cat Daddy Games,0.05,0.04,,,0.01
331,Fishing Sim World,Simulation,XOne,Dovetail Games,Dovetail Games,0.05,0.04,,,0.01
332,Atari Flashback Classics: Volume 3,Misc,XOne,Funbox Media,Atari,0.05,0.04,,,0.01
333,Owlboy,Platform,PS4,Soedesco,D-Pad Studios,0.05,0.04,,,0.01
334,The Escapists 2,Action,NS,Sold Out,Team17 Software,0.05,0.04,,,0.0
335,Gravel,Racing,XOne,Milestone S.r.l.,Milestone S.r.l,0.05,0.04,,,0.0
336,Jake Hunter Detective Story: Ghost of the Dusk,Adventure,3DS,Aksys Games,Arc System Works,0.05,0.03,,0.01,0.0
337,SNK Heroines Tag Team Frenzy,Fighting,NS,NIS America,SNK Corporation,0.05,0.02,0.01,0.01,0.0
338,Onrush,Racing,PS4,Deep Silver,Codemasters,0.05,0.04,,,0.01
339,Dead Cells,Action,PS4,Merge Games,Motion Twin,0.05,0.04,,,0.01
340,Lost Sphear,Role-Playing,NS,Square Enix,Tokyo RPG Factory,0.04,,0.02,0.02,0.0
341,Devil May Cry HD Collection,Action,XOne,Capcom,Capcom,0.04,0.04,,,0.0
342,Cat Quest,Adventure,NS,PQube,PQube,0.04,0.04,,,0.0
343,Paw Patrol on a Roll,Platform,XOne,Outright Games,Outright Games,0.04,0.04,,,0.0
344,Megadimension Neptunia VIIR,Role-Playing,PS4,Idea Factory International,Compile Heart,0.04,0.01,,0.03,0.0
345,The Settlers History Collection,Simulation,PC,Ubisoft,Blue Byte,0.04,,0.04,,0.0
346,Pure Farming 2018,Simulation,PS4,Techland,Ice Flames,0.04,0.02,0.01,,0.01
347,Hotel Transylvania 3: Monsters Overboard,Action-Adventure,XOne,Outright Games,Torus Games,0.04,0.04,,,0.0
348,Earthfall,Action-Adventure,PS4,Gearbox Software,Holospark,0.04,0.03,,,0.01
349,Adventure Time: Pirates of the Enchiridion,Adventure,XOne,Outright Games,Outright Games,0.04,0.04,,,0.0
350,Scribblenauts Mega Pack,Adventure,XOne,Warner Bros. Interactive Entertainment,Shiver Games,0.04,0.04,,,0.0
351,8 to Glory: The Official Game of the PBR,Sports,PS4,THQ Nordic,Three Gates,0.04,0.03,,,0.01
352,Atari Flashback Classics: Volume 1,Misc,NS,Atari,Atari,0.04,0.04,,,0.0
353,Mega Man X Legacy Collection 1+2,Platform,XOne,Capcom Entertainment,Digital Eclipse Software,0.04,0.04,,,0.0
354,Under Night In-Birth Exe:Latest,Fighting,PS4,Aksys Games,Arc System Works,0.04,0.01,,0.03,0.0
355,Dark Souls Trilogy,Action,XOne,Namco Bandai,From Software,0.04,0.04,,,0.0
356,My Riding Stables: Life with Horses,Simulation,PS4,TREVA Entertainment,Independent Arts Software GmbH,0.04,0.03,,,0.01
357,Okami HD,Action,NS,Capcom,Capcom,0.04,,,0.04,
358,Don't Starve: Giant Edition,Adventure,XOne,505 Games,Klei Entertainment,0.04,0.04,,,0.0
359,Surviving Mars,Simulation,PS4,Maximum Games,Haemimont Games,0.04,0.03,,,0.01
360,Scribblenauts Mega Pack,Adventure,PS4,Warner Bros. Interactive Entertainment,Shiver Games,0.04,0.03,,,0.01
361,Mutant Football League: Dynasty Edition,Sports,XOne,Nighthawk Interactive,Digital Dreams,0.04,0.03,,,0.0
362,Shadows Awakening,Role-Playing,XOne,Kalypso Media,Games Farm,0.04,0.03,,,0.0
363,Tennis World Tour,Sports,PS4,Bigben Interactive,Breakpoint Studio,0.04,0.03,,0.01,0.01
364,Black Clover: Quartet Knights,Shooter,PS4,Bandai Namco Entertainment,Ilinx,0.04,0.02,,0.01,0.0
365,Asterix and Obelix XXL2,Action-Adventure,PS4,Microids,Microids,0.04,,0.03,,0.01
366,SD Gundam G Generation Genesis,Strategy,NS,Bandai Namco Games,Bandai Namco,0.04,,,0.04,
367,Digimon Story: Cyber Sleuth - Hacker's Memory,Role-Playing,PSV,Namco Bandai Games,Media.Vision,0.04,,,0.04,
368,Hotel Transylvania 3: Monsters Overboard,Action-Adventure,PS4,Outright Games,Torus Games,0.04,0.03,,,0.01
369,Sushi Striker: The Way of Sushido,Puzzle,3DS,Nintendo,Indies Zero,0.04,0.02,,0.02,0.0
370,Gintama Ranbu,Action,PSV,Namco Bandai Games,Bandai Namco Games,0.04,,,0.04,
371,Immortal Unchained,Role-Playing,PS4,Sold Out,Toadman Interactive,0.04,0.03,,,0.01
372,Operation Warcade,Shooter,PS4,Perpetual,Ivanovich Games,0.04,0.03,,,0.01
373,Assassin's Creed Rogue Remastered,Action-Adventure,XOne,Ubisoft,Ubisoft,0.04,,0.03,,0.0
374,Valkyria Chronicles 4,Role-Playing,XOne,Sega,Sega,0.04,0.03,,,0.0
375,Monster Boy and the Cursed Kingdom,Action-Adventure,NS,FDG Entertainment,Game Atelier,0.04,0.03,,,0.0
376,Blade Strangers,Fighting,NS,Nicalis,Studio Saizensen,0.04,0.03,,,0.0
377,FIFA 19,Sports,PS3,Electronic Arts,EA Sports,0.04,,0.03,,0.01
378,Persona 3: Dancing in Moonlight,Music,PS4,Atlus,Atlus,0.04,0.02,,0.01,0.01
379,The Persistence,Action-Adventure,PS4,Sony Interactive Entertainment,Firesprite,0.04,,0.03,,0.01
380,Darkest Dungeon,Role-Playing,PS4,Red Hook Studios,Red Hook Studios,0.04,0.02,,0.01,0.01
381,Punch Line,Adventure,PS4,PQube,5pb. Inc.,0.04,0.03,,,0.01
382,Scribblenauts: Showdown,Platform,XOne,Warner Bros. Interactive,Shiver Games,0.04,0.03,,,0.0
383,Omen of Sorrow,Fighting,PS4,Soedesco,AOne Games,0.04,0.03,,,0.01
384,Warriors Orochi 4,Action,XOne,Koei Tecmo,Omega Force,0.04,0.03,,,0.0
385,Secret of Mana,Role-Playing,PSV,Square Enix,Square Enix,0.04,,,0.04,
386,Tennis World Tour,Sports,XOne,Bigben Interactive,Breakpoint Studio,0.04,0.03,,,0.0
387,SaGa: Scarlet Grace,Role-Playing,PS4,Square Enix,Square Enix,0.03,,,0.03,
388,Snow Moto Racing Freedom,Racing,NS,Big Ben Interactive,Bigben Interactive,0.03,0.03,,,0.0
389,South Park: The Stick of Truth,Role-Playing,PS4,Ubisoft,Obsidian Entertainment,0.03,0.03,,,0.01
390,Monster Energy Supercross - The Official Videogame,Racing,NS,Milestone S.r.l.,Milestone S.r.l.,0.03,0.03,,,0.0
391,8-Bit Armies,Strategy,PS4,Soedesco,Petroglyph Games,0.03,0.03,,,0.01
392,Let's Sing 2019,Music,NS,Ravenscourt,Ravenscourt,0.03,,0.03,,0.0
393,The Raven Remastered,Adventure,PS4,THQ Nordic,KING Art Games,0.03,0.03,,,0.01
394,Onrush,Racing,XOne,Deep Silver,Codemasters,0.03,0.03,,,0.0
395,Salt and Sanctuary,Platform,NS,Leadman Games,Ska Studios,0.03,0.03,,,0.0
396,Death Mark,Misc,PS4,Aksys Games,Experience Inc.,0.03,0.02,,0.01,0.0
397,Attack on Titan 2,Action,PSV,Koei Tecmo,Koei Tecmo Games,0.03,,,0.03,
398,Code of Princess EX,Action,NS,Nicalis,Studio Saizensen,0.03,0.02,,0.01,0.0
399,Naruto Shippuden: Ultimate Ninja Storm Trilogy,Fighting,NS,Bandai Namco Games,CyberConnect2,0.03,,,0.03,
400,Aqua Moto Racing Utopia,Racing,NS,Big Ben Interactive,Bigben Interactive,0.03,0.03,,,0.0
401,Earthfall,Action-Adventure,XOne,Gearbox Software,Holospark,0.03,0.03,,,0.0
402,Ride 3,Racing,XOne,Bandai Namco Entertainment,Milestone S.r.l.,0.03,0.03,,,0.0
403,8-Bit Armies,Strategy,XOne,Soedesco,Petroglyph Games,0.03,0.03,,,0.0
404,Immortal Unchained,Role-Playing,XOne,Sold Out,Toadman Interactive,0.03,0.03,,,0.0
405,Flashback,Platform,NS,Maximum Games,Paul Cuisset,0.03,0.01,0.02,,0.0
406,Railway Empire,Simulation,XOne,Kalypso Media,Gaming Minds Studios,0.03,0.03,,,0.0
407,MXGP Pro,Racing,XOne,Milestone S.r.l.,Milestone S.r.l.,0.03,0.03,,,0.0
408,de Blob 2,Platform,NS,THQ Nordic,THQ Nordic,0.03,0.03,,,0.0
409,Pure Farming 2018,Simulation,XOne,Techland,Ice Flames,0.03,0.03,,,0.0
410,Railway Empire,Simulation,PS4,Kalypso Media,Gaming Minds Studios,0.03,0.02,,0.0,0.01
411,Darkest Dungeon,Role-Playing,NS,Merge Games,Red Hook Studios,0.03,0.02,0.01,,0.0
412,IDOLiSH7 Twelve Fantasia!,Music,PSV,Bandai Namco Entertainment,Bandai Namco Games,0.03,,,0.03,
413,Utawarerumono: Chiriyukusha e no Komoriuta,Role-Playing,PS4,Aqua Plus,Aqua Plus,0.03,,,0.03,
414,World of Final Fantasy Maxima,Role-Playing,XOne,Square Enix,Square Enix,0.03,0.03,,,0.0
415,Train Sim World,Simulation,XOne,Maximum Games,Dovetail Games,0.03,0.03,,,0.0
416,Sumikko Gurashi Atsumare Sumikko Town,Misc,NS,Nippon Columbia,Nippon Columbia,0.03,,,0.03,
417,All-Star Fruit Racing,Racing,PS4,PQube,3DClouds.it,0.03,0.03,,,0.01
418,Let's Sing 2019,Music,PS4,Ravenscourt,Ravenscourt,0.03,,0.03,,0.0
419,Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,Action,PS4,Sega,Sega CS3,0.03,,,0.03,
420,Divinity: Original Sin II,Role-Playing,XOne,Bandai Namco Entertainment,Larian Studios,0.03,0.03,,,0.0
421,Super Bomberman R,Puzzle,XOne,Konami Digital Entertainment,HexaDrive,0.03,0.03,,,0.0
422,Mega Man X Legacy Collection 1+2,Platform,NS,Capcom,Capcom,0.03,,,0.03,
423,Labyrinth of Refrain: Coven of Dusk,Action,PS4,NIS America,Nippon Ichi Software,0.03,0.01,,0.01,0.0
424,Omega Labyrinth Z,Role-Playing,PSV,Unknown,Unknown,0.03,,,0.03,
425,Override: Mech City Brawl,Action-Adventure,PS4,Modus Games,The Balance Inc,0.03,0.02,,,0.01
426,Don't Knock Twice,Adventure,PS4,Perpetual,Wales Interactive Ltd.,0.03,0.02,,,0.01
427,Beast Quest,Action-Adventure,PS4,Maximum Games,Torus Games,0.03,0.02,,,0.01
428,Code: Realize - Bouquet of Rainbows,Visual Novel,PS4,Aksys Games,Idea Factory,0.03,0.02,,,0.01
429,Adventure Time: Pirates of the Enchiridion,Adventure,NS,Outright Games,Outright Games,0.03,0.01,0.02,,0.0
430,Utawarerumono Zan,Action,PS4,Aquaplus,Tamsoft,0.03,,,0.03,
431,Kamen Rider: Climax Scramble Zi-O,Fighting,NS,Bandai Namco Games,Bandai Namco Games,0.03,,,0.03,
432,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Role-Playing,NS,Tecmo Koei,Gust,0.03,0.02,,0.01,0.0
433,Record of Grancrest War,Action-Adventure,PS4,Bandai Namco Games,Bandai Namco,0.03,,,0.03,
434,The Lost Child,Action,PS4,NIS America,Crim,0.03,0.01,,0.01,0.0
435,Dragon Quest X: All in One Package Ver.1-4,MMO,NS,Square Enix,Square Enix,0.03,,,0.03,
436,Penny-Punching Princess,Misc,NS,NIS America,Nippon Ichi Software,0.03,0.03,,,0.0
437,The Longest 5 Minutes,Action,NS,NIS America,Nippon Ichi Software,0.03,0.03,,,0.0
438,Shining Resonance Refrain,Role-Playing,XOne,Sega,Media.Vision,0.03,0.02,,,0.0
439,SNK 40th Anniversary Collection,Misc,NS,NIS America,SNK Corporation,0.03,0.02,,,0.0
440,Yonder: The Cloud Catcher Chronicles,Action,NS,Merge Games,Prideful Sloth,0.03,0.02,0.0,,0.0
441,The Town of Light,Adventure,NS,Wired Productions,Unknown,0.03,0.02,,,0.0
442,Bridge Constructor Portal,Simulation,PS4,Nighthawk Interactive,ClockStoneSoftware,0.03,0.02,,,0.01
443,Beast Quest,Action-Adventure,XOne,Maximum Games,Torus Games,0.03,0.02,,,0.0
444,The Raven Remastered,Adventure,XOne,THQ Nordic,KING Art Games,0.03,0.02,,,0.0
445,Hellblade: Senua's Sacrifice,Action-Adventure,XOne,Microsoft Studios,Ninja Theory,0.03,0.02,,,0.0
446,The Lost Child,Role-Playing,NS,NIS America,Crim,0.03,0.02,,,0.0
447,Air Missions: Hind,Simulation,PS4,Soedesco,3Division,0.03,0.02,,,0.0
448,Doraemon: Nobita no Takarajima,Action,3DS,FuRyu Corporation,FuRyu,0.03,,,0.03,
449,God Wars The Complete Legend,Strategy,NS,NIS America,Kadokawa Games,0.03,0.01,,0.01,0.0
450,Death Mark,Adventure,NS,Aksys Games,Experience Inc.,0.03,0.02,,0.0,0.0
451,PriPara All Idol Perfect Stage!,Misc,NS,Unknown,Takara Tomy ARTS,0.03,,,0.03,
452,Agony,Action-Adventure,PS4,Maximum Games,Madmind Studio,0.03,0.02,,,0.0
453,Legendary Fishing,Sports,PS4,Ubisoft,Ubisoft,0.03,0.02,,,0.0
454,The Legend of Heroes: Sen no Kiseki: Kai -Thors Military Academy 1204-,Role-Playing,PS4,Nihon Falcom Corporation,Nihon Falcom Corporation,0.03,,,0.03,
455,Monster Boy and the Cursed Kingdom,Platform,PS4,FDG Entertainment,Game Atelier,0.03,0.02,,,0.0
456,Past Cure,Action,PS4,Phantom 8 Studio,Phantom 8 Studio,0.03,0.02,,,0.0
457,Mary Skelter: Nightmares 2,Role-Playing,PS4,Compile Heart,Compile Heart,0.03,,,0.03,
458,7'scarlet,Adventure,PSV,Aksys Games,Unknown,0.02,,,0.02,
459,The Longest 5 Minutes,Action,PSV,NIS America,Nippon Ichi Software,0.02,,,0.02,
460,Zanki Zero: Last Beginning,Role-Playing,PSV,Spike Chunsoft,Lancarse,0.02,,,0.02,
461,Lost Sphear,Role-Playing,PS4,Square Enix,Tokyo RPG Factory,0.02,,,0.02,
462,Rad Rodgers,Platform,PS4,THQ Nordic,3D Realms,0.02,0.02,,,0.0
463,Bullet Girls: Phantasia,Action,PS4,Experience Inc.,Shade,0.02,,,0.02,
464,Trailblazers,Racing,PS4,Rising Star Games,Supergonk,0.02,0.02,,,0.0
465,Labyrinth of Refrain: Coven of Dusk,Role-Playing,NS,NIS America,Nippon Ichi Software,0.02,0.02,,0.01,0.0
466,Agony,Action-Adventure,XOne,Maximum Games,Madmind Studio,0.02,0.02,,,0.0
467,"Warhammer 40,000: Deathwatch",Action,PS4,Hoplite Research,Rodeo Games,0.02,0.02,,,0.0
468,Sudden Strike 4,Strategy,XOne,Kalypso Media,Kite Games,0.02,0.02,,,0.0
469,Super Run For Money Tousouchuu & Sentouchuu,Action,NS,Bandai Namco Games,Bandai Namco Games,0.02,,,0.02,
470,Bridge Constructor Portal,Puzzle,XOne,Nighthawk Interactive,ClockStone,0.02,0.02,,,0.0
471,Blade Strangers,Fighting,PS4,Nicalis,Studio Saizensen,0.02,0.02,,,0.0
472,"Warhammer 40,000: Inquisitor - Martyr",Action,PS4,Neocore Games,Neocore Games,0.02,0.02,,,0.0
473,ATV Drift & Tricks,Racing,XOne,Microids,Artefacts Studio,0.02,0.02,,,0.0
474,Titan Quest,Action,XOne,THQ Nordic,THQ Nordic,0.02,0.02,,,0.0
475,Override: Mech City Brawl,Action-Adventure,XOne,Modus Games,The Balance Inc,0.02,0.02,,,0.0
476,Space Hulk Tactics,Strategy,PS4,Focus Home Interactive,Cyanide,0.02,0.02,,,0.0
477,Collar x Malice: Unlimited,Visual Novel,PSV,Idea Factory,Idea Factory,0.02,,,0.02,
478,SaGa: Scarlet Grace,Role-Playing,NS,Square Enix,Square Enix,0.02,,,0.02,
479,South Park: The Stick of Truth,Role-Playing,XOne,Ubisoft,Obsidian Entertainment,0.02,0.02,,,0.0
480,428: Shibuya Scramble,Visual Novel,PS4,Spike Chunsoft,Abstraction Games,0.02,0.01,,0.01,0.0
481,Dance with Devils,Action,PSV,Unknown,Unknown,0.02,,,0.02,
482,Undertale,Role-Playing,NS,4-Aug,Toby Fox,0.02,,,0.02,
483,Flipping Death,Platform,PS4,Rising Star,Zoink Games,0.02,0.02,,,0.0
484,This Is the Police 2,Strategy,PS4,THQ Nordic,Weappy Studio,0.02,0.02,,,0.0
485,Cats Together,Simulation,NS,Bandai Namco Games,Bandai Namco Games,0.02,,,0.02,
486,8 to Glory: The Official Game of the PBR,Sports,XOne,THQ Nordic,Three Gates,0.02,0.02,,,0.0
487,Cats Together,Simulation,3DS,Bandai Namco Games,Bandai Namco Games,0.02,,,0.02,
488,Titan Quest,Action,PS4,THQ Nordic,Iron Lore Entertainment,0.02,0.02,,,0.0
489,Border Break,Action-Adventure,PS4,Sega,Sega,0.02,,,0.02,
490,Hunting Simulator,Shooter,NS,Bigben Interactive,Maximum Games,0.02,0.02,,,0.0
491,Touhou Genso Wanderer Reloaded,Role-Playing,NS,NIS America,AQUA STYLE,0.02,0.01,,0.01,0.0
492,Psychedelica of the Black Butterfly,Action,PSV,Aksys Games,Otomate,0.02,,,0.02,
493,Armello,Strategy,PS4,League of Geeks,League of Geeks,0.02,0.02,,,0.0
494,Valthirian Arc: Hero School Story,Role-Playing,PS4,PQube,Agate Studio,0.02,0.02,,,0.0
495,Hello Kitty Kruisers,Misc,NS,Rising Star Games,Bergsala Lightweight,0.02,0.02,,,0.0
496,Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,Action,PSV,Sega,Sega CS3,0.02,,,0.02,
497,Shaq-Fu: A Legend Reborn,Action,PS4,Wired Productions,Big Deez Productions,0.02,0.02,,,0.0
498,Shaq-Fu: A Legend Reborn,Action,NS,Wired Productions,Big Deez Productions,0.02,0.02,,,0.0
499,This Is the Police 2,Strategy,XOne,THQ Nordic,Weappy Studio,0.02,0.02,,,0.0
500,Code: Realize - Shukufuku no Mirai,Adventure,PSV,Aksys Games,Unknown,0.02,,,0.02,
501,Gear Club Unlimited 2,Racing,NS,Microids,Eden Games,0.02,0.02,,,0.0
502,Gal Gun 2,Simulation,NS,PQube,Inti Creates,0.02,0.01,,0.01,0.0
